,Qoraalka,Qeybta
228,"qof ilaahay abuurey waxaa ugu sharaf badaan nabigeena suubanaheena aaan kuwada salino
???ä?è ?º?ä?ä?ç ???ä?è?ç ?ê???ä?à?¥ñ?¥ñ",Positive-Wanaag
229,Allow sohadee,Negative-Xumaan
230,Dhaqanka xun eesameeso hadii lagu cambaareyn lahaay walhi wey iska Bedeli  laheyd lkn dhibka waxaa waaye dadkaan qofka xun waa loosii camiraaa markaas qofkina dhiranaan ayuu kasii qaadayaaa ihay umada haka qabto iyadana ilahy hasoo hadyeeyo hadey hanuunka wax kuleedahay,Negative-Xumaan
231,Naagtan ilaahy ba xisaabinya ee idinku faraha ka qaada somalidu wa fadul,Positive-Wanaag
232,Baabajeyga Asigaaba aqlaaq leheen yaahuu,Negative-Xumaan
233,Legendnima waxe noqotey ceeeeb markaaan,Positive-Wanaag
234,Wan ducenan ilaahay haa so hadayo,Positive-Wanaag
235,Waa runtaa ale haso hanuuniyo bulshaduna way ku khakdanyihin iny sas kutagerab,Negative-Xumaan
236,Legends dirisle abdi,Positive-Wanaag
237,Runtii qof ah dirisle,Positive-Wanaag
238,Iyado waxay thy waxxbba haku dheeranine babajeey aya qladka leh kaas runta usheeg,Negative-Xumaan
239,Hadal waxaa ugu wngsn kusalida rasulkena Muhammad scw ,Positive-Wanaag
240,idirsle aniga runta leeb ku jaclahey aad la gaban ilaahey ishood ha kaa duwo lil bro ,Positive-Wanaag
241,Diirisle runtad kaa hadashe lagand is one,Positive-Wanaag
242,Hadaa taqaan sida subscribe loo saaro fadlan isaar abaal waybaan kuu hayaa ha igu adkayn bro,Neutral-Dhexdhexaad
243,Plz iku caawi subscribe boqo channal kay kheyr Allah ku siiyee wll qali,Neutral-Dhexdhexaad
244,Afkaaga caano lagu qabay dirisloow tiktok oo dhan baa meel dhaqan xumo isku badashay tana ha ugu darnaatee kuwa fisqiga ku taageeraya ha ka waantoobaan,Positive-Wanaag
245,"Dad waxa ugu liita laba mid

1-Nin aan waligii masaajid gelin oo ay ugu horreyso maalinta meydkiisa la geeyo ee lagu tukanaayo

2-Gabar aan waligeed is asturin oo ay asturnaantu ugu horreyso maalinta kanfanka lagu duuduubo.",Positive-Wanaag
246,baab jeey barin qaniis buu keeni haduu saas ku socdo oon laga hadlin qaladkiis wlh in dadkeeyn ka dhigaan wax normal ah beey rabaa waxeyn nagu soo dhisaayan qaniisinta dumarka jirkood ka ganacsado all youtub leeyd arinta ka hadasho iyo mulumad waxan nalaga qabto ,Positive-Wanaag
247,Ma runtaad ku caayaysaa gabadha,Positive-Wanaag
248,Nin aduun joogow maxaa aragti kuu laban,Positive-Wanaag
249,Markii horaba 2badoda ma dawan jirin mela tiktok un ku arkaye balya dawata naag zaaza ,Negative-Xumaan
250,"Vaaar  bisinka 18:5 ninka soomaliga ah ee ku fikiraya inuu mss would guursado waayo
Bal dheh qaawan dirislow kkkkkk",Negative-Xumaan
251,Wuu kjaldmy,Neutral-Dhexdhexaad
252,Way kaga dhacday,Neutral-Dhexdhexaad
253,"Dirisle walal runtii waxaad kahadashay  arin muhiim ah , dhaqan xumada in la faafiyo waa inaad ka hor tagtaan intaad awoodaan oo dhinac looga soo wad jeesto mahadsanid walaal dirisle guuleyso",Positive-Wanaag
254,Dirisloow sxp babajay uu iska dhadhicinaya magaca kaliya ku radinaya,Negative-Xumaan
255,Waa kusaaraye walaakeye,Positive-Wanaag
256,Libaax dirisle abdi ,Positive-Wanaag
257,asc waxaa waxaas ugu yeero waa dadka la midka ayad oo qaniisinta iyo kuwa maanka gaaban waxbo aqoon diintu ku yartaha,Positive-Wanaag
258,Miss wold sore huno,Neutral-Dhexdhexaad
259,Been mashegto queen qawan runta maa kaxanaqdan,Neutral-Dhexdhexaad
260,@Hibo  Bella qof inaa wax kashegtaa wa danbi danbigeda alla xisabayo maxa ana naga gale,Positive-Wanaag
261,Naa aamus jaqajaamadyahay doqonda difaacaysaa,Negative-Xumaan
262,War legend kaan ad ledihin mahee ee 4 gmail saameysta sii aan uu gadhsino 1m sxpkeen amba wllkeen,Neutral-Dhexdhexaad
263,Duni dhamadkeed baan jognaa allow noo naxriiso ya allha ,Positive-Wanaag
264,Darisle goat of social media,Positive-Wanaag
265,Waxan nahay isku wadan hadana ma tagero,Positive-Wanaag
266,Hhhh wiil kale,Neutral-Dhexdhexaad
267,ILAHAY HAYNAGA AQBALO MIHIMADU WA IN LA ILALIYA SALADA INSHA ALAH KUWI QATA ALAH INAGA DHIGO AMIIN AYARABI,Positive-Wanaag
268,Washamsi halagu aado gabdhaa si ay uga baxado daaqada waayo xumaanteda badaty,Negative-Xumaan
269,dirislow sxb video ga eray yar oo afku kaa dafay baa ku jira sxb iska eeg waliba waa magac,Positive-Wanaag
270,Waarya gabadha may kugu adkaysay maxaad la ciil hadlaysaa,Negative-Xumaan
271,Kumay adakayn walalo ee xumanteda ayu ka waanina ee ilahay ugu duce inu so hadeyo,Positive-Wanaag
272,Ma naag buu waye sharaf badan gabdho sharaf badan dhaxe buxane,Negative-Xumaan
273,Dhilo muxu kufala uff oo nin intey weysay caag isku isticmaleso ishhhhh,Negative-Xumaan
274,Wll mcn idirisle keep going  after three days waan 1million,Positive-Wanaag
275,Asxabey ani labada wiil ee Asad hagio iyo dirisle kee 1M ku hormari doono ani koley labadaba wan taageera guul ayan u rajeunaa ,Positive-Wanaag
276,Asad hagio,Positive-Wanaag
277,"Sadaqaa baxshaa dadka hakuugu jeclaadaan oo gabar fiican waye haku dhahaan bey isleedahay ma lacagtaas baa sadaqo gasho
Teeda kale anigu wiligey anoo fiirsan baa baabajeey ka arkay unsubscribe neh waa dhahay dhaqan xumo tabarteey maaha",Negative-Xumaan
278,Waa runtaa,Neutral-Dhexdhexaad
279,Calaamadihii qiyaamaha la arag,Neutral-Dhexdhexaad
280,Masha Allah afkaaga caano mac lagu qabay waa sax fasahaadki iyo saqajaanimadi intee ka badatay aa wax Caadi laga dhigaa taaso kale ma ahan in sharaf loo yeelo waa wixi qashinka lagu dari jiray,Negative-Xumaan
281,Likaha meeediya aaway  dad wax ka sheeg jiray  naagtaan wax kama sheeegi karo War naagtaan baaa diyey ku dhalatay dad aaa a daaaroood ahaan ugu haya meesha naagtu waa dhul bahante,Negative-Xumaan
282,Var var var var var var var var var mss world aa,Negative-Xumaan
283,Kommen 1Millionen ich Bitte alles hala gaadh siiyo dhaqso sher meel walba asxbta wainkaa,Positive-Wanaag
284,CK Ayaa hada dhihi Doono King Ma jiro Anuu iga wadaa,Negative-Xumaan
285,Horaa lo idhi ey qayliyey ey aamusey ba ka badiyee Waxpa haku khasrin hadalkaga dad aan u qalmin,Negative-Xumaan
286,Aaway boodharigiii dadka ceyn jiray iyo kiii a waan ka isu bixiyey aaway limahiii meediya,Negative-Xumaan
287,Miss world ha odhan queen qaawan dheh ,Positive-Wanaag
288,Hafyo hadal kuma jidho ba horay lodhahay,Positive-Wanaag
289,Magaca ayaa qalday raaligalin bixi Miss world ha odhan,Positive-Wanaag
290,18:05 mss world mahan mss qawan dhe,Neutral-Dhexdhexaad
291,Nin rageed bthy wlh idigo wiil yar ah waxad garaty babajey inow garan waayo sorry imaanka allaha nosugo,Positive-Wanaag
292,Naagtaan daarood baa ku haaaya mmeesha,Negative-Xumaan
293,Baabajeey Sh shantaay runta ayuu ka sheegay wlh umada meel xun ayuu kusiiwadaa duliga ,Negative-Xumaan
294,Team dirisle,Neutral-Dhexdhexaad
295,Viva wiilasha  soomalia,Positive-Wanaag
296,Baaba jeey wa niin walaaan,Negative-Xumaan
297,Comentigeyga hadaad aragtid 3k wax yar iiga dhiman igaarsii wll,Neutral-Dhexdhexaad
298,Xaass bunallah wa yaaab,Neutral-Dhexdhexaad
299,Ilahey ha soo hadeeyo,Positive-Wanaag
300,Aduun waxaynu joognaa shuuboyinkii  wax laga dhageysanyo queena lagu tilmaamyo ilhy xaqa ha tuso u duceeya ,Negative-Xumaan
301,@Barwaaqo channel wn ku sarey,Neutral-Dhexdhexaad
302,Abayo YouTube channelkayga iso boqo ,Neutral-Dhexdhexaad
303,PALANTEENU WAA ZHAQO TEAM DIRIZLE UPDI,Neutral-Dhexdhexaad
304,apdate aptio noqo inlaga hormaro marebiye,Neutral-Dhexdhexaad
305,Suxaanlaah,Neutral-Dhexdhexaad
306,M.a pro keep going ,Positive-Wanaag
307,Dirisle  udicee illaah hadayada haye,Positive-Wanaag
308,Allow na xafid,Positive-Wanaag
309,Micnaha wiil somaliya inuu kudhiiranayn sharaf xumadeda bay ogtaha ee wiilashena maxuma sharf leeyihin isku dhaqan iyo isku dhiignahay,Positive-Wanaag
310,?¥ù¢?¥ù??¥ù? ?¥ÿä?¥ù«?¥ù«?¥ù? ?¥ÿä?¥ù«?¥ù??¥ù¢?¥ù? ?¥ù??¥ÿé?¥ù??¥ù??¥ÿå ?¥ù??¥ù«?¥ù«?¥ù? ?¥ÿü?¥ù¢?¥ÿå,Neutral-Dhexdhexaad
311,Dirisle cabdi                  pls   ku share  kareeso       bage Facebook  aad Lee dahey  si aad u karto 1m si fudud,Positive-Wanaag
312,ilahay qabriga hanoo ifiyo,Positive-Wanaag
313,WAA ADUUNYO GADOON ILLAAHAYOOW NOO DANBI DHAAF,Positive-Wanaag
314,7K 50daQ??Qo the goat d??r??sle ,Neutral-Dhexdhexaad
315,ader gabadha siilka uga fuq,Negative-Xumaan
316,Fadlan wll waxa Allihi ku abuuray owgiis kaga Codsanaya ina subscription iyo like igu caawisid mahadsanid Sharafi korkaga ha ahato wll ,Positive-Wanaag
317,Walal albab kasta oo ka xiran allah ha ku furo murugadan farxad ha kuku badalo culeys kasto idiin heysto allah idinka dulqaado 100 subscribe iisara xabibiyaal ,Positive-Wanaag
318,Nagu soo biir wll subscribe dheh youtube channelkeyga adiga ogu caawinka halkaan donayo in aan gaaro,Positive-Wanaag
319,Wallhi videogn uu i braarujiyy thanks dirsle,Positive-Wanaag
320,Sax waye kep gion bowe,Positive-Wanaag
321,Subscribe ii saar wll adigo mahad,Positive-Wanaag
322,Mid nacasa 40 jira aya isna melkasta faraha kulajira Oo 90 ka dadka kumashqula wa dad iyagiba cebeysan  wad iga qoslisay dirislaw manta,Negative-Xumaan
323,Sax,Neutral-Dhexdhexaad
324,Legemed ma aha waa nijaasad,Negative-Xumaan
325,"Sadaqa maaha waa xaraan waxay ay siineyso masaakiinta...
Allah soo hanuuniyo 
Baba jeeyna waa qaldan yahay wuu ka daray waayadaan",Negative-Xumaan
326,"The best person ever, the most knowledgeable and the most shy of all has Allah created is prophet Muhammad ",Positive-Wanaag
327,Scw,Positive-Wanaag
328,@Axmed Farah Haa Haday sidaa Ku sii socodo Hablaha somaliyeed Khadar ku jiraan,Positive-Wanaag
329,Taas waa inla dilo,Negative-Xumaan
330,Walala wil wanagsan ba tahay mama Malyun cafis waydisoo,Positive-Wanaag
331,Waligiiis meeel uuu ku caayaay ma aragtay,Positive-Wanaag
332,Wan idin salaamay team dirisle,Positive-Wanaag
333,Wankaqadnay huno,Positive-Wanaag
334,"Dirisle zxp adoo 200$ isoo diray bn ku riyooday yaab 
Bl ina adeer wx ka dhe",Positive-Wanaag
335,Qalad ahaan ayey kugu soo dhacday soo celi Hhhhh,Positive-Wanaag
336,Anuu igu ka zo dhibaya Markii lagu zodiro  iiwac,Positive-Wanaag
337,M.a dirisle caawa ayaad meelo muhiim taabay I am proud to you ,Positive-Wanaag
338,Idirislow bal balaarka aa ka daran  baaa a jeey bal ba laarka waxay tiri siilkaagaan ee gayaaa,Negative-Xumaan
339,Ilahey qofko  ka yabo  mel  bu  tira  jis  nano  magalo  uf  ,Negative-Xumaan
340,Wra wax bilaa,Negative-Xumaan
341,"Dirisle legend  waanu kuwadanaa sxp dufaac diinteena Islaamka wixii ku qaldamaya sxp 
From Jamhuuriyada Barakaysan ee Somaliland ",Positive-Wanaag
342,Bal balaarka a tiri siilkaaga aan rabtaaa in aan fiirsado,Negative-Xumaan
343,Gabadha allaha so hanuuniyo halkaad dhihi lahayd baad hadallo aan fcnayn ku hadlysaa wxay smaysana hdey fcn yhiin iyo hdey xun yhiin ayadu ilaah kla.xisaabtamaya kleexo mrkaa,Positive-Wanaag
344,Kulamaan so doonan hdalkyga  hdu jileec kmuuqdo iyo hdii kleba,Negative-Xumaan
345,Oo maraka ma runta losheegayo ma didntahy ,Positive-Wanaag
346,Meesha jileeca kala tag adeer.,Negative-Xumaan
347,Nio adigu dirislow wlhi wax wax kuu sheega ayaad laadahay mida kale waano wax ku ool ah ayaad ubaahantahay horta maxaad dadka uun udaba taagantahay maadan caadi ahayn horta,Negative-Xumaan
348,Darisle wad ka fiicneyd cunida hilbaha dadka ee gudomiye maxa ka qaldamay gabadhan walashaa ah maxa ka rabtaaaa,Negative-Xumaan
349,Pro waxa ay  sameynayo  ayuu  kadigay wllka  diintana dhaawacaysaa  dhillo qaawan wrkeda wx ficn ha iga dhigin  hadi kle diintaada shaki kujirta ,Negative-Xumaan
350,Idirislow iska ilaaali naagaha daaaroood naaagahaan waa dhul bahante iyada tiiikaloo iyada oo laqabo laheyd igu dhufo waa huda amuun iyo tukaloo iyada a qaaawan naagtaan ma fiicna waa naag gaalaa,Negative-Xumaan
351,Qahin qaawan weeye wuxu,Negative-Xumaan
352,Inta ila og iney Quen qawan bastarad tahay,Negative-Xumaan
353,Allaw muraadkanaga iyo muraadada muslimiintaba  sahal  aamiin,Positive-Wanaag
354,Amiin yarabi,Positive-Wanaag
355,Wllo subscribe iisaar please,Neutral-Dhexdhexaad
356,War mss world wa mxy qawan dheh caku adna wa iga yaabisay,Neutral-Dhexdhexaad
357,Isagii aaba waaalN,Negative-Xumaan
358,Baaja jeey xoolo xoolo xoolo,Negative-Xumaan
359,Diresle waad mahadsan tahay,Positive-Wanaag
360,Wll mcn iga farxi subscribe ideh wax maka dibeyso wlhi aniga ayey wax iitareysaa wlll mcn mcn nabiga aan ku salino,Positive-Wanaag
361,Baaba jeey caqli maleh waa la ogyahay,Negative-Xumaan
362,Wlhii mbelkasto rdnaa si an subscribe usro I.a coming son 1m,Neutral-Dhexdhexaad
363,"Aaway dadkii inaanta tar mariish
Washamsi kuqaadayey
Maxay baabajeey ugu qaadi waayeen
Mise keliya hablaha ayaa laga adagyahay  stop baabajey",Negative-Xumaan
364,"Baaba jaay caqli majiro wallahi 
Sheikh shantaay markuu lahaa ninkaan baraha bulshada fisqi buu kuhayaa wuu sacsanaa 
Baba jaay saacadaha iyo maalmaha soo socda isagoo is oysiinayaan sugaynaa oo leh "" anigu nin cuuryaan ah baan ahay youtubkana ilmahaan ku korsadaa maxaa la iga rabaa iyo nacnac",Negative-Xumaan
365,Team dirisle waa inaa rumayna riyada Dirisle oo gaarna 1m,Positive-Wanaag
366,"Your reactions are getting better brother nowadays 

Maxaa yeelay si dagan oo xaqiiqda ama waaqaca ah ayaad u bixisaa waanan kugu hambalyaynayaa hore u soco 

Waxaanad isku daydaa inaad keento barnaamijyo cusub oo xiiso leh si shacbiyada teamkaagu kor ugusii kacdo 1m iska daaye 10m ayaad awoodaa inaad gaadhtee",Neutral-Dhexdhexaad
367,Dirisle runta kugu jeclahay,Positive-Wanaag
368,Walal athiga naftatha  mawalanta   queen qawan wabagarane miss wold  mesha mahakeni,Negative-Xumaan
369,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Positive-Wanaag
370,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Positive-Wanaag
371,Wll dar Ilaahey iigu saar subscribe,Positive-Wanaag
372,Wll dar Ilaahey iigu saar subscribe,Positive-Wanaag
373,Wll dar Ilaahey iigu saar subscribe,Positive-Wanaag
374,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Positive-Wanaag
375,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Positive-Wanaag
376,Subxaaanlaaah ilaahow na astur,Positive-Wanaag
377,Wllo subscribe iisaar please,Positive-Wanaag
378,Darislow mss world mahan Queen qawan ciyal var intas wakuguso qadanayan ,Neutral-Dhexdhexaad
379,Wax walbo ay ahaato dumar waani lkn inaa la tirsatid ma ahan caqliga ha shaqeeyo ,Positive-Wanaag
380,Hno dumarka ta sharafta LEH Ayaa la sharfaa tan sharafta lahayna indhaha candhuuf lagaga tufaa,Negative-Xumaan
381,Aduun xumanta loo sacbinayo lana taagerayo ba jogna baba jey ilahay ba ka abaalmarinaya midas lacnatulah calayk,Negative-Xumaan
382,Teem dirisle hadanu nahay  aanu ku gadhno  1m after one week only  Insha allah,Positive-Wanaag
383,Alle ha soo hadeeyo,Positive-Wanaag
384,Baba jey wuu qaldamay wlh alaha udanbi dhaafp,Positive-Wanaag
385,Hada idinkaaba dadka usii sharaxaya maad iska dhaaftaan warkeeda,Positive-Wanaag
386,"Naagtan waan jeclahay zhp 
Waa naag aqli Badan",Positive-Wanaag
387,CAQLIGA ZIDAAN U NAQAANAY MAA LAGA ZOO RARAY,Neutral-Dhexdhexaad
388,Caqliga beel caqli ku yeh,Negative-Xumaan
389,Qof aa jeclaato maa weyso,Negative-Xumaan
390,Farax lugo basto yaa idin rabo nin cadan,Negative-Xumaan
391,Dirisle apowe 100dollar ma igu cawin karta p/z  Gabar somaliyed o dhib haysato ahay p/z apowe,Neutral-Dhexdhexaad
392,Wll mcn haddii aad commentigayga akhrinayso dhiig islamnimo kugu jiro iyo mid naxriizba wll ha idhaafin please subcribe isaar,Neutral-Dhexdhexaad
393,Ihay ha soo hadeeyo,Positive-Wanaag
394,Subxaan allh subxaan allah,Neutral-Dhexdhexaad
395,Qawan babay la baday somliyey nagtaa yey idiin fidmayn qarbaa u nacmleynaya  bab jeey walhi sharfi buu iskaga ciyaray marku waxas wareysi ka qaday,Negative-Xumaan
396,malha isaga hungureyay  naagtan sidee qof sharmuutonimo sheganaysa isago xaas leh loogu arka agtiisa u gfadhiista  ugu qososha taas anoo la yaaban buuba boqorada haweenka ku shegay  marka isaga malaha wax ka raba  naagtiisii marku u imanyo dhaqtarka ha gayso ha soo badho  waxan dad maha,Negative-Xumaan
397,Halagagaro.dadka.badiyene,Neutral-Dhexdhexaad
398,"Raga somalida ee social mediaha mujiro waxa tahy qofka kaliya ee xaqiiqda abaari kara wana taqana sda lohadlo keep going,",Positive-Wanaag
399,@Barwaaqo channel ex Hore miy?áa tHY ,Neutral-Dhexdhexaad
400,Abayo YouTube channelkayga iso boqo ,Neutral-Dhexdhexaad
401,Walahi.dirislow.warunta.karbash.babaje.iyo.shrmutatan,Negative-Xumaan
402,18:miss world ayaa tidhi khalad weeye qaawan dheh,Neutral-Dhexdhexaad
403,baba jay  malaha waliish bay bay u tahay boqorad anaga nooma ahee akhas baba jey qof wanagan baan moodi jiray shekh shantay baan uga hiiliyaay   qof ba maha walahay wuu ceeboobay,Neutral-Dhexdhexaad
404,Runta weye baaba jey uu dhaqan xunyahay,Negative-Xumaan
405,Wey ka soo fakatay,Neutral-Dhexdhexaad
406,Qofaan jeclahy waana qof caan ah see ugu zheegtaa soomaliyy?,Neutral-Dhexdhexaad
407,@Osman Radwan maaha wllo dirisle waa midkale YouTuber ah,Neutral-Dhexdhexaad
408,Youtpe ugu sheg,Neutral-Dhexdhexaad
409,Dirisle ayan u maleeynaya,Neutral-Dhexdhexaad
410,Iskadaa wll ALLAH  laxisbtamayee,Positive-Wanaag
411,"
Ayaa zugaysa qof walba oo Muslim ah ha ilaawin ziztery ha dhayalsan  inay mustaqlblka caruurtada uxuntaha",Positive-Wanaag
412,Warunta,Positive-Wanaag
413,Abayo YouTube channelkayga iso boqo ,Positive-Wanaag
414,Waoga.adiga.bas.kahadlijiray,Neutral-Dhexdhexaad
415,ka fogaaaada qofkii xun,Positive-Wanaag
416,Dirisle wlhi waxn naagta ku arkay oo dhan buu ku sheegay isku fikir nahay mida kle  raga somaliyeed ee wax fcn nooga dhigya hanaga dhaafan,Neutral-Dhexdhexaad
417,Miss world  wayo video?ÇÖga dir u eeg,Neutral-Dhexdhexaad
418,"Baaba Jey & Queen Qaawan Miyaa Furtay Xarun  ay Gabdhaha Jirkooda Kaga Ganacsan karaan ?  Maxey uxayeysiinayaan Aplicationkan ? Waa Maxay Muqaalka baraha Bulshada heysta 

Dhaqan xumaddii Ugu Weyneyd !",Negative-Xumaan
419,Waa naag dhaqan xun,Negative-Xumaan
420,Wahaleysanyahe,Neutral-Dhexdhexaad
421,Xaqiiqda waa tan wlhi BIG LEGENDARY,Neutral-Dhexdhexaad
422,War.bahdila.babajey,Negative-Xumaan
423,Drisle abdi ,Neutral-Dhexdhexaad
424,Dirisle legend,Neutral-Dhexdhexaad
425,War gabadhan Diinta Islaamkaba ma Haysto,Negative-Xumaan
426,Wa nag dhaqan xun,Negative-Xumaan
427,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Positive-Wanaag
428,Aad iyo aad,Neutral-Dhexdhexaad
429,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Positive-Wanaag
430,Abti darislee,Neutral-Dhexdhexaad
431,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
432,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
433,taan waa ruun,Neutral-Dhexdhexaad
434,Mr xaliye midaas muxuu ooga aamusayna ileen waa kii waxkasta falanqaynjireee,Neutral-Dhexdhexaad
435,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
436,Dunidaan dhamaadkedi baan jognaaa yaa rabi noo naxariiso,Positive-Wanaag
437,Yarabi ,Positive-Wanaag
438,Wllhi beenta ma ahan,Neutral-Dhexdhexaad
439,Kan ma fiyooba ?ƒÿé,Negative-Xumaan
440,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ?£à,Neutral-Dhexdhexaad
441,"In ay gabdhaha soomaaliyeed iyo caruurta mustaqbalka in ay baadiyeeso yay rabtaa waa qof la soo diray, bcouse sidaan il adayg ka wayn",Neutral-Dhexdhexaad
442,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
443,Ima aaminaysid linkiga whatsapp kyga ku zaaray hadan ku dhaho,Neutral-Dhexdhexaad
444,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
445,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
446,Macala tiktok waxn ku arkay dad badn oo faaninaya oo ku haya alla qaawan run badana oo legend-sanaa Xumaanti baa dadka looga dhigaya wax wangsan  ilahow noo naxariiso ,Positive-Wanaag
447,Qawan wa runley,Neutral-Dhexdhexaad
448,Wa tan layabay malaha wa inta bila dhaqanka Oo Ay dintu kuyartahay subhnallah,Positive-Wanaag
449,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Positive-Wanaag
450,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
451,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
452,walaalayaal subscribe ii saara dar ilahay haa dhaafin wll waan ku baryayaa,Neutral-Dhexdhexaad
453,Abdala Vlog waxa an ku so gudbiya muqaalada travel Vlog ah fadlan igu so biir ,Neutral-Dhexdhexaad
454,Adi maahanee viewska aa kaa galay ee diinta qabto hablo ajnabi kaa eh inaa la dheesdheesho waa tee aa is istaaba taabataan ee 45 cisho dadbaa 800k to 1m ku socdo viva team 27 ee wiilow talent la imow meesha maxaac lagama rabee,Neutral-Dhexdhexaad
455,@cabdulaahi mataanyare123 iskuma xadgudbaan kuwaas xitaa jirkooda isma taabtaan ee wax kale iisheeg ,Neutral-Dhexdhexaad
456,@Apdi kariin Moh may walaashaa aa rabay inaa wax dheer ag dhigo dameerti ku mehrisay was,Negative-Xumaan
457,Gabadh miyaad thy adiga miyaad rabtay in gabadh ahaan u ag fadhiiso dirisle Hhhh,Negative-Xumaan
458,Youtuber somaliyed oo an gabadh video Isla sameyn ma jiroh ta kleh isaga inu ka hadlo qawan hada ugu ma horeyso mise fans keda thy,Negative-Xumaan
459,Nacasninada meesha kala fadhiiso,Negative-Xumaan
460,Ma walaashaba waadigan xanaaqsane,Negative-Xumaan
